id,url_alive
08f2a10af694923203f91d3b26935831,True
08f2a924959628cd03f6694fef5aca80,True
08f29a1d58c403a50322528dbaff3bd1,True
08f2a33043458629035d2f168f47f5af,True
08f446c2a8a1475a03a3c825b43fbc5f,False
08f2b9b34d2f3cc603e6e324483b99d1,True
08f44c42e312cac103267191aa401ab4,False
08f29a198ec60c0b03eac222b62b6ef3,True
08f441a12dbac13003b106aaa5be2fe7,True
08f44f054c93466c030225777a8f2657,True
08f26dc75e320c2a038425676351b578,True
08f28f0130ad948e0349bb35dd9b9a54,True
08f44e00d874e6cd0333011f2102e015,True
08f2a86d96d0c2f4039c1589e3f3c720,False
08f446c2f01759550363efc8d320be81,True
08f44c0b0e31d67403ed4e3d1ed46789,True
08f29a1b1364219903f1278ee57f0037,True
08f2a9eb8b4c465603b6ab1b63c76434,False
08f44a100c42b2b6032a12a98a27939d,True
08f489c18345912103a5d834da25dc3a,False
08f446ca8daa9991034c126a7904b0ad,True
08f275264c1acc110396d2360d5a93e9,True
08f2aa6ca62e8a830368caa716cb40f7,True
08f444650a64204803eb7d34f9ac3d6b,True
08f26c875d55800d0346f8242179440c,True
08f2aa8d8c45a2c303cff6a8de3bf0ca,True
08f44f69027a986303c2790124a948e8,True
08f29a1d5c22b934033d8c0418a32056,True
08f48c6c0156d4a00392cd1cfa14a50c,True
08f44f041c39a396039f9f6fc073d337,True
08f2a3076e9484eb036f22b2daebe897,True
08f446dc731a0b1c0397664fbe01a53f,True
08f2b892182ce52c038fa261dbef6f98,True
08f2a10045aa669803c23d17a054404a,True
08f2a91d6a4969b203b7fa6ebcd7ac79,True
08f2aadb9879ab2c0387d1a8dc4c14c3,True
08f2a961b007282d033e0d66530ea07d,True
08f27aaa84104b4103c90ed560d6cbf4,True
08f2a335a306db5003d332c48f73b144,False
08f44438aab12ab603d0468da22e9a5e,True
08f441a092b35a9e0379350d60cd0531,True
08f2600b0ba0623403b272c6307f6e6b,True
08f2a100aca2d984031f9b86b66205ec,False
08f2aac8c344505c03bc362f9abb3636,True
08f2a8b6dd389dad031a3baca694052b,True
08f5d16b2b7ae845031141f90bd4ff40,True
08f29a54c3954bb203a566265989031c,True
08f2a1004b0184ac03ccec805926abb0,True
08f275cb064cdaee03369c476fb11f49,True
08f275925c109a30034d4d467c98b6a2,False
08f441a8984c8750031de056ec21f9b7,False
08f48d88717768a303f7607cb0f44a3b,False
08f2a100eb3b6a58036b1408e30d72b1,True
08f44a9642658c8803a561ecc750e2e3,False
08f2a1345c759d0503e8538d421c8628,True
08f29b6d148ab75403660eb8c0fafc46,True
08f28d0aeb91060c038b7de7404c3013,False
08f2a93c536cb46903793739b1406a7f,True
08f2a86914ae28d903df50ebd97962e7,True
08f29a1c20205202035e66d05c7cce48,True
08f27592e5d500db03c0c18956e61e37,True
08f2a363a44c922d03ca08cd681a1ec8,True
08f2830821a034dc038a111a596b5b94,True
08f2986b8a256415033922603bc80ce5,True
08f2a8b9b0aca98d037a18a32f529b30,True
